Newsletter Name,Website URL,Category,Collections
Privacat Insights,https://insights.priva.cat/,AI & Machine Learning,SWAI
Exponential View,https://www.exponentialview.co/,AI & Machine Learning,SWAI
Code Like A Girl,https://codelikeagirl.substack.com,Software,SWAI
Everyday Ethical AI, https://karensmiley.substack.com,AI & Machine Learning, SWAI
6 'P's in AI Pods, https://sixpeas.substack.com, AI & Machine Learning, SWAI
6 'P's in AI Pods, https://sixpeas.substack.com, AI & Machine Learning, SWAI
Women Writin' 'Bout AI,https://womenwritinboutai.substack.com,AI & Machine Learning,SWAI
Women Writin' 'Bout AI,https://womenwritinboutai.substack.com,AI & Machine Learning,SWAI
The Scenarionist,https://www.thescenarionist.com,Science & Research,SWAI
@Jasmine,https://jasmi.news,AI & Machine Learning,SWAI
Sarah Seeking Ikigai,https://www.seekingikigai.online,AI & Machine Learning,SWAI
Ann Smarty's Search & #AI Digest,https://www.annsmarty.com,AI & Machine Learning,SWAI
AI for Families,https://www.aiforfamilies.com,AI & Machine Learning,SWAI
Decoding Discontinuity,https://www.decodingdiscontinuity.com,AI & Machine Learning,SWAI
TechSips with Nadina: The Newsletter,https://techsips.nadinalisbon.com,Technology,SWAI
Gray Matters,https://maggiegray.us,AI & Machine Learning,SWAI
Eleanor on Everything,https://everything.intellectronica.net,AI & Machine Learning,SWAI
